Test,Ref,Unit
HEIGHT IN METERS,,
Helminth,,
HEMATOCRIT,40.0-50.0,%
HEMATOCRIT,40-50,%
HEMATOCRIT,36.0-46.0,%
HEMATOCRIT,High 40-50,%
HEMATOCRIT,Low 36-46,%
HEMATOCRIT,Low 40-50,%
HEMATOCRIT (PCV),40-50,%
Hematocrit (PCV),42-52,%
HEMATOCRIT(PCV),male 40-50 female 36-46,%
HEMATOCRIT(PCV),36-46,
HEMATOCRIT(PCV),male 40-50;,%
HEMATOCRIT(PCV),Male40-50;,%
HEMATOCRIT(PCV),male 40-50% female 36-46%,%
HEMATOCRIT(PCV),39-54;,
HEMATOCRIT(PCV),39-54,
HEMATOCRIT(PCV),36-46,%
HEMATOCRIT(PCV),40-50,%
HEMATOCRIT(PCY),40-50,%
Hematrocrit (PCV),42-52,%
Hemogilobin,13.0-17.0,Gm%
HEMOGL OBIN,12-15,gm/dL
Hemoglobin,Male:12-16 ;,gm%
HEMOGLOBIN,13-17,gm/dl
HEMOGLOBIN,13-77,g/dL
HEMOGLOBIN,12-15,gm/dl
Hemoglobin,Male:12-16,gm%
HEMOGLOBIN,12.0-15.0,g/dL
HEMOGLOBIN,High 13.0-17.0,g/dL
Hemoglobin,"(M:12-18), (F:11-16)",gm%/dl
HEMOGLOBIN,Low 12.0-15.0;,g/dL
HEMOGLOBIN,Low 12.0-15.0,g/dL
Hemoglobin,11.5-16.5,g/dl
Hemoglobin,M: 12-18;,gm%/dl
HEMOGLOBIN,13-17,mg/dL
Hemoglobin,13-17,g/dL
HEMOGLOBIN,11.5-15.5,g/dL
Hemoglobin,[13.0-17.0],Gm%
Hemoglobin,Male: 12-16 ;,gm%
HEMOGLOBIN,Low 13.0-17.0,g/dL
Hemoglobin,[13.0-17.0},Gm%
HEMOGLOBIN,49.45,ginal
Hemoglobin Opticalimpedance),11.5-15.5,g/dl
HEMOGRAM,13-17,g/dL
HEMOGRAM,13-17,gm/dl
HEMOGRAM EOTA Whole Blood by Automated Cell outer TOTAL LEUCOCYTE,eumm 4000 10000,
Hemolysed RBC,,
Hemoparasites,,
Hemoparasites Not present,,
HERNIA,,
Hesitancy,,
HEXOKINASE Gr-ucosr PosT PRAN0IAt PP,70-140,nEldL
HGB,110 /17.0,g/dL
HGB,11.0 /17.0,g/dL
HGB,11.0 / 17.0,g/dL
HGB,11.0/17.0,g/dL
HGB,11.0-15.0,g/dL
HGB,gms% 11.5 15.0,
HIGHER FUNCTIONS,,
HISTORY OF MEDICATIONS,,
HIV,,
Hyaline cast,,
Hyalline cast,,
Hypochromia,,
HEXOKINASE HOURS NAF PLASMA,17-63 IFC Pyridoxal 5,AMINOTRANSFERASE ul
Immature Leukocytes,,
Immature Leukocytes WBC Differential Count,,
Impaired glucose tolerance,Above 6.5 Diabetes,
Impaired Glucose Tolerance:140,APPEARANCE,
Impalred glucose tolerance,Above 6.5 Diabetes,
IMPRESSION,,
Indirect,0.3-1.0,mg/dL
Indirect,00-0.30 mg/dL,mg/dL
Indirect,00-0.30,mg/dL
Indirect,00-0.30 ;,mg/dL
Indirect,[00-0.30 mg/dL],mg/dL
Indirect,[00-0.30 ],mg/dL
Indirect,mgs/dl,
INDIRECT,0-0.7,mg/dL
Indirect (Calculated),00-0.30,mg/dL
Indirect (Calculated),[00-0.30 ],mg/dL
INDIRECT 04 mgldl,0-0.7,mg/dL
Indirect Bilirubin,0.3-1.0,mg/dL
INDIRECT BILIRUBIN,0.1-1.0,mg/dL
Indirect Bilirubin,,mg/dL
Indirect Bilirubin,00-0.30,mg/dL
INDIRECT S. BILIRUBIN,0-0.8,mg/dL
INDIRECT S. BILIRUBIN,0-0.8,mg/dL
INTERATRIAL SEPTUM,,
INTERPRETATION,,
INTERVENTRICLE SEPTUM,,
IVC,,
SGOT,,U/L
IVS,,
IVS(S),,
IVSd,,cm
JOINTS,,
JUL,80-290,IU/L
Ketone,,
KETONE,,NIL
KETONE,NIL,
KETONE,NlL,
Ketone,Bebo,
Ketone Bodies,,
KETONES,NEGATIVE,
Ketonebody,,
KETONES,NOT DETECTED,
Ketones,Absent,
KETONES,NEGATIVE,
Ketones,,
KETONES,NAGATIVE,
KETONES,NO DETECTED,
KETONES,NORMAL,
KETONES,,NOT DETECTED
Ketones Bodies,,
KETONF BODIES,ABSENT,
Kidney,,
KITONES,NEGATIVE,
KLTONE BODILS,ABSENT,
KLTONL BODILS,ABSENT,
L D L CHOLESTEROL DIRECT,63.0-129.0,mg/dL
L.D.L. : H.D.L.,,
L.D.L. Cholesterol,75-125,mg/dL
L.D.L.Cholesterol,75-125,mg/dL
L.D.L: H.D.L.,,
L.D.L:H.D.L,,
LA,,cm.
LA,,cm
LA,,
LACTATE DEHDROGENASE,230-460,U/L
LACTATE DEHYDROGENASE,135-214,U/L
LARVAE,NOT DETECTED,
LD Cholesterol,me/dl0-40,
LDL,0-150,mg/dL
LDL,60-100,mg/dL
LDL,0-130,mg/dL
LDL,Desirabie : 0-130 ;,mg/dL
LDL,80-129,mg/dL
LDL,0-100-Optimal;,mg/dL
LDL,0-100 - Optimal ;,
LDL,120-170,mg/dL
LDL CHOLESTEROL,0-110,mg/dL
LDL / HDL,1.5-3.5,mg/dL
LDL / HDL CHOLESTEROL RATIO,0.00-3.55,
LDL / HDL RATIO,Desirable level:0-3.0 Borderline;,
LDL / HDL RATIO,Desirable level:0-3.0 Borderline level:3.0-6.0;,Ratio
Ldl / Hdl Ratio,Optimal: Less than - 3.0;,
LDL /HDL,1.5-3.5,mg/dL
LDL 130-159 160-189,,
LDL : HDL,,
LDL Chol / HDL Chol Ratio,2.5-3.5,
LDL Chol / HDL Chol Ratio,2.5-3.5,mg/dL
"LDL CHOL / HDL CHOL RATIO, ",0-3.5 Ratio,
"LDL CHOL / HDL CHOL RATIO, SERUM",0-3.5 Ratio,
"LDL CHOL / HDL CHOL RATIO, Serum",0.3.5,Ratio
"LDL CHOL / HDL CHOL RATIO, Serum",0-3.5,
"LDL CHOL / HDL CHOL RATIO, Serum",0-3.5,Ratio
"LDL CHOLESREROL-(DIRECT LDL), SERUM",0-100,mg/dL
LDL Cholesterol,Desirable: 0-130.0,mg/dL
LDL CHOLESTEROL,0-100,mg/dL
LDL Cholesterol,0-130,mg/dL
LDL Cholesterol,Optimal 0-100;,mg/dL
LDL Cholesterol,Optimal: 0-100;,mg/dL
LDL CHOLESTEROL,0-100;,mg/dL
LDL CHOLESTEROL,50-130,mg/dL
LDL Cholesterol,Near optimal : 100-129 ;,mg%
LDL cholesterol,0-130 ;,mg/dL
LDL Cholesterol,Less than 130,mg/dL
LDL Cholesterol,;,mg/dL
LDL CHOLESTEROL,40-75,mg/dL
LDL CHOLESTEROL,0-150,mg/dL
LDL Cholesterol,Low Risk 0-100;,mg/dL
LDL CHOLESTEROL,0-30,mg/dL
LDL Cholesterol,Desirable: 0-130.0;,mg/dL
LDL Cholesterol,Optimal 100;,mg/dL
LDL Cholesterol,Near optimal : 100-129;,mg%
LDL CHOLESTEROL,50-130,mg/d
LDL Cholesterol,Optimal 0-100;,
LDL Cholesterol,0-100:Optimal,mg/dL
LDL Cholesterol,70.00-150.00,mg/dL
LDL Cholesterol,Optimal : 0-100.0;,mg/dL
LDL Cholesterol,Optimal : 0-100;,mg/dL
LDL Cholesterol,;,
LDL Cholesterol,Optimal : 0-100.0 Near or above Optimal : 100.0-129.0 Borderline: 130.0-159.0;,mg/dL
LDL Cholesterol,Upto 150 mg dl,mg/dL
LDL Cholesterol,0-158,mg/dL
LDL Cholesterol,,
LDL Cholesterol,90-150,mg/dL
LDL CHOLESTEROL,0-150s,mg/dL
LDL Cholesterol,160,mgs/dl Upto
LDL CHOLESTEROL,to150,mg/dL Up mg/dL
LDL Cholesterol,85-150,mg/dL
LDL CHOLESTEROL,160,mg/dL
LDL CHOLESTEROL,mg/dL0-100,
LDL Cholesterol,Optimal0-100.0 Near or above Optimal 100.0-129.0,mg/dL
LDL Cholesterol,100.0 Near above Optimal 100.0 129.0 Modified Friendwell formula Borderline 130.0 159.0 High>160.0,mg dL Optimal
LDL Cholesterol Direct,Optimum : Less than 130,mg/dL
"LDL CHOLESTEROL (DIRECT LDL), SERUM",0-100,mg/dL
LDL CHOLESTEROL (DIRECT LDL)SERUM,0-100,mg/dL
LDL CHOLESTEROL (DIRECT),0-150.0,mg/dL
"LDL CHOLESTEROL - (DIRECT LDL), SERUM",0-100,mg/dL
"LDL CHOLESTEROL - (DIRECT LDL), SERUM",0-100;,mg/dL
"LDL CHOLESTEROL - (DIRECT LDL), SERURUM",0-100,mg/dL
LDL Cholesterol - Direct,Optimum -less than 130,mg/dL
LDL Cholesterol - Direct,Optimum : Less than 130,mg/dL
LDL Cholesterol - Direct,0-130,mg/dL
"LDL CHOLESTEROL - DIRECT LDL), SERUM",0-100,mg/dL
LDL CHOLESTEROL e722,Calciatod,
"LDL CHOLESTEROL, Serum",Optimal: 0-100 mg/dL;,
"LDL CHOLESTEROL, Serum",Optimal: 0-100 ;,
"LDL CHOLESTEROL, Serum",Optimal: 0-100 ;,mg/dL
"LDL CHOLESTEROL, Serum",Optimal: 0-100;,mg/dL
"LDL CHOLESTEROL-(DIRECT LDL), SERUM",0-100,mg/dL
LDL Cholestrol,10-30,mg/dL
LDL CHOLESTROL,,
LDL HDL,0.4,
LDL HDL Ratio,0.5-3.0,
LDL(Cholesterol)-serum,60-150,mg/dL
LDL.,60-150,mg/dL
LDL. Cholesterol,Less than 130,mg/dL
LDL/ HDL,1.5-3.5,mg/dL
Ldl/ Hdl Ratio,Optimal: Less than - 3.0;,
LDL/HDL,1.5-35,mg/dL
LDL/HDL Ratio,0-3.2,
LDL/HDL Ratio,Optimal : Less than 3.0,-
LDL/HDL RATIO,2.5-3.5,
LDL/HDL RATIO,0.5-3.0 Desirable/Low Risk 3.1-6.0 Borderline/Moderate Risk >6.0 High Risk,mg/dL
LDL/HDL Ratio,Optimal : Less than 3.0,
LDL/HDL RATIO,0.5-3.0 Desirable/Low Risk;,
LDL/HDL Ratio,,
LDL/HDL Ratio,0.5-3.0,
LDL/HDL RATIO,0.5-3.0 Desirabale/Low Risk;,mg/dL
LDL/HDL RATIO,2.8-4.1,
LDL/HDL Ratio,0.5-30.0,
LDL/HDL Ratio,0.5-3.0,mg/dL
LDLC/HDLC Ratio,2.5-3.5,
LDLCHOLESTEROL,0-100,mg/dL
LEAD,08-2.5,ng/ml
LEAD,0-150,µg/l
LEAD,0-150;,µg/l
LEAD,0.8-2.5,ng/ml
LEAD,0-150,g/l
"LEAD, BLOOD",Environmental Exposure:;,ug/dL
"LEAD, BLOOD",Environmental Exposure: ;,ug/dL
"LEAD, BLOOD (AAS)",20,ug/dL
LEFT ATRIUN,,
LEFT KIDNEY,,
LEFT VENTRICE,,
lElecrricallmpedance,,va
lElectricaltmpedance,,%0-7-2 Electricallmpedance
LEUCOCITE ESTERASE,NEGATIVE,
LEUCOCYT ESTERASE,NEGATIVE,
LEUCOCYTE ESTERASE,NEGATIVE,
LEUCOCYTE ESTERASE,Dipstick,
LEUCOCYTE ESTERASE NECATIVE,NEGATIVE,
leucocytes,,
LEUCOCYTES,,/HPF
LEUCOCYTES,NIL,
Leucocytes (Pus Cells),,/HPF
Leucocytes (Pus Cells),,
Leucocytes Count,400-11000,/c.mm
Leucocytes Count,4000-11000,/c.mm
Leucocytes Count,4000-11000,/ c.mm
Leucocytes Count,4000-11000,fcu.mm
Leukocytes,,
Leukocytes,,Mo
Leukocytes (Pus cells cells),0-5,/hpf
Leukocytes (pus cells),0-5,/hpf
Leukocytes(Pus cells),0-5,/hpf
Leukocytes(Pus cells),0-5,/ hpf
Leukocytes(Pus cells)/hpf,0-5,/hpf
Leukocytes(Pus cells)/hpf,0.5,/hpf
Leukocytes(Pus cells)hpf,0-5,/hpf
LIC#,0.00-0.20,x10^9/L
LIC#,0.00-0.20,
LIC%,0.0-2.5,%
LIC%,0.0-2.5,
Lipid Profile,,
LIPID PROFILE Serum Appearance,Clear,
LIPID PROFILE SERUM TOTAL CHOLESTEROL,CHE/CHO/POD,mg/dL0-200
LIPID PROFILE SO SERUM TRIGLYCERIDES,mg/dL0-150,mg/dL
LIVER,,
LIVER FUNCTION TEST Bilirubin Total,,mg/dL
LIVER FUNCTION TEST Bilirubin Total,0.1-1.3,mg%
LIVER FUNCTION TEST Bilrubin Total,0.2-1.2,mg/dL
LIVER FUNCTION TEST S.Bilirubin,mg/dL,ma/dl
LMP (FOR FEMALES),,
Low,40-50,%
LOWER LIMB,,
LUCOCYTE ESTERASE,NEGATIVE,
LUNG FUNCTION TEST,,
LV FUNCTION,,
LV- RWMA,,
LVEF,,
LVID(D),,
LVID(S),,
LVIDd,,cm
LVIDs,,cm
LVPW(D),,
LVPW(S),,
LYM,25.0/50.0,%
LYM,25.0 /50.0,%
LYM,25.0 / 50.0,%
LYM#,1.0/5.0,x10^3/µL
LYM#,1.0 /5.0,x10^3/µL
LYM#,1.0 / 5.0,x10^3/µL
LYM#,1.0/5.0,x10^3μL
Lym#,0.80-4.00,x10^9 /L
Lym#,0.80-4.00,x10^9/L
LYM#,1.0 /5.0,x10^3 μ/L
Lym%,20.0-40.0,%
Lympho,25-45,%
Lymphocyte,20.0f;,fl
LYMPHOCYTE,20-40,%
Lymphocyte,20-45,%
LYMPHOCYTE,20-40,
Lymphocyte,,%
Lymphocyte,;,%
Lymphocyte,20-40;,%
Lymphocyte,25-45,%
LYMPHOCYTE,20-45,
Lymphocyte,(20-45),%
Lymphocyte,20%-30%,%
Lymphocyte,20-30,%
Lymphocyte,30-60,%
Lymphocyte,20,%
Lymphocytes,16-45,%
Lymphocytes,20-40,%
LYMPHOCYTES,1000-3000,Cells/cu.mm
Lymphocytes,20-45,%
LYMPHOCYTES,1000-30000,Cells/cu.mm
Lymphocytes,20.0-50.0,%
LYMPHOCYTES,1000-3000,Celis/cu.mm
Lymphocytes,20-45%,%
LYMPHOCYTES,High 20-40,%
Lymphocytes,,%
LYMPHOCYTES,Low 20-40,%
LYMPHOCYTES,1000-3000;,cells/cu.mm
LYMPHOCYTES,1000-3000,Cells/cumm
Lymphocytes,20-45%,
Lymphocytes,20-30,%
LYMPHOCYTES,20-40,(H) %
LYMPHOCYTES,1000-3000,Cell/cu.mm
LYMPHOCYTES,43-73,%
Lymphocytes,30-50,%
LYMPHOCYTES,Adults: 14-46,%
Lymphocytes,[20-40],%
LYMPHOCYTES,20-40,"%,"
Lymphocytes,0-1,%
LYMPHOCYTES,20-40,H %
Lymphocytes,;,%
Lymphocytes,20,%
Lymphocytes,20-45,%o
Lymphocytes,20-40,% Methed
LYMPHOCYTES,2o4o,%
LYMPHOCYTES,20-40 _|Electrical impedance EY SE,
LYMPHOCYTES,1000-3000,Cellsfcu.mm
Lymphocytes,20-40,%o
LYMPHOCYTS,25-40,%
LYMPHOCYTTS,20-40,%
LYMPHONODE,,
LYMPHOTES,20-40,%
Lyrnphocyte,,%
M C H,27.0-31.0,Picogram
M C H,26-34,pg/cell
M C H C,33-37,gm/dl
M C H C,31-36,gm/dl
M C V,80-100,fl
M C V,76-96,fL
M.C.H,28-33,pg
M.C.H,26-32,pg
M.C.H,27-32,pg
M.C.H,27-32 pg,pg
M.C.H,27.0-32.0,pg
M.C.H,27-32,Microgram
M.C.H,Adult (E.V.27-32);,pg
M.C.H,[27.0-32.0],pg
M.C.H,[27.0-32.0),pg
M.C.H,,pg
M.C.H.,27.0-32.0,pg
M.C.H.,26-32,pg
M.C.H.,28-33,pg
M.C.H.,28-33,pgm
M.C.H.,Adult (E.V.27-32 );,pg
M.C.H.,27-32,Microgram
M.C.H.,Adult (E.V.27-32pg);,pg
M.C.H.,[27.0-32.0],pg
M.C.H.,(E.V.27-32),pg
M.C.H.C,32-36,g/litre
M.C.H.C,32-36,g/dl
M.C.H.C,32-36,%
M.C.H.C,32-36%,%
M.C.H.C,31.5-34.5,%
M.C.H.C,28-40,%
M.C.H.C,Adult (E.V.31-35pg),gm/L
M.C.H.C,(E.V.31-35),gm/L
M.C.H.C,[31.5-34.5],%
M.C.H.C,,%
M.C.H.C.,31.5-34.5,%
M.C.H.C.,32-36,g/dl
M.C.H.C.,32-36,g/litre
M.C.H.C.,32-36,%
M.C.H.C.,32-36,/litre
M.C.H.C.,31.5-34.5,g/dl
M.C.H.C.,[31.5-34.5],%
M.C.H.C.,31.5-34.0,%
M.C.H.C.,(E.V. 31-35),gm/L
M.C.H.C.,( E.V.31-35 ),gm/L
M.C.HC,32-36,%
M.C.HC,32-36%,%
M.C.V,80-95,fl
M.C.V,80-99,fL
M.C.V,82-92,cumm
M.C.V,92,cumm
M.C.V,82-92 cumm,cumm
M.C.V,83.0-101.0,fL
M.C.V,Adult (E.V 76-96);,fl
M.C.V,[83.0-101.0],fL
M.C.V,,fl
M.C.V.,83.0-101.0,fL
M.C.V.,80-99,fL
M.C.V.,80-95,fl
M.C.V.,80-95,cu.mm
M.C.V.,Adult (E.V. 42-52);,fl.
M.C.V.,Adult (E.V.76-96);,fl
M.C.V.,[83.0-101.0],fL
M.C.V.,Adut (EV.78-96);,
M.CH,27-32,pg
M.CH,,pg
M.CH.C,32-36,%
M.CV,82-92,cumm
M.P.V,9.0-13.0,fl
M.P.V,(9.0-13.0),fL
M.P.V,[9.0-13.0],fl
M.P.V,,fL
M.P.V.,9.0-13.0,fl
M.P.V.,[9.0-13.0],fl
Macrocytosis,,
Macrophages,,
Macrophages,Absent,
MACROPHAGES,NOT DETECTED,
MACROPHAGES,,/hpf
MACY,,fl
MCH,26-34,pg
MCH,27-32,pg
MCH,26-34,
MCH,27.0-32.0,pg
MCH,26-32,pg
MCH,26.0 /34.0,Pg
MCH,27-33,picograms
MCH,26.6-33.8,pg
MCH,27-32;,
MCH,27-32,
MCH,26.0 / 34.0,pg
MCH,27.0-34.0,pg
MCH,26.0 /340,pg
MCH,27-31,pg
MCH,27-12,pg
MCH,27-32,pc
MCH,28-33,pg
MCH,27-37pp,
MCH,31.5-34.5,pgms
MCH,38.0,pg
MCH (Mean Corpuscular Hb),27-31,pg
MCHC,31.5-35,%
MCHC,31.5-34.5,g/dL
MCHC,31-36,
MCHC,31.5-34.5,gm/dl
MCHC,32-36,%
MCHC,30-36,gm/dl
MCHC,31.5-34. s,g/dL
MCHC,32-36,gm/dl
MCHC,30.0-36.0,%
MCHC,31.5-34.5,g/L
MCHC,31.5-34.5,mg/dL
MCHC,31.0 /35.5;,g/dL
MCHC,23-37,%
MCHC,31.0 /35.5,g/dL
MCHC,31.5-35%,%
MCHC,31.5-35,gm/dl
MCHC,31.5-34.5;,g/dL
MCHC,31.5-34.5,%
MCHC,31.0-37.0,g/dl
MCHC,31.6-34.5,gm/dl
MCHC,32.35,%
MCHC,32-36;,
MCHC,31.0/35.5,g/dL
MCHC,31.0 / 35.5,g/dL
MCHC,31.5-34.5,g / dl
MCHC,31.0-36.0,g/dl
MCHC,31.0 /355,g/dL
MCHC,31.5-34.5,g
MCHC,38.0-36.0,%
MCHC,315-345,gm/dL
MCHC,32.0-36.0,g/dL
MCHC,31.5-345,gm/dL
MCHC,32-36,g/dl
MCHC,32-35,%
MCHC,30-36,mg/dL
MCHC,31.0/35.0,g/dL
MCHC,30-36,%
MCHC,32-36g/dl,
MCHC,31.5-34.5,o
MCHC,a/dL 31.0 37.0,
MCHC,32-36,gin
MCHC (Mean Corpuscular Hb Concn.),32-36,g/dL
MCHC (Mean Corpuscular Hb Concn.) 32.6,32-36,g/dL
MCHC (Mean Corpuscular Hb Conecn.),32-36,g/dL
MCV,80-100,fl
MCV,83-101,fL
MCV,80-100,
MCV,76-96,fl
MCV,80-95,fl
MCV,77-98,fi
MCV,78-98,fl
MCV,75.0-96.0,fl.
MCV,83.0-101.0,fL
MCV,77-98,fl
MCV,75.0-96.0,fl
MCV,78-94,fl
MCV,76-95,fL
MCV,80.0/100.0,fL
MCV,80-100,cu.microns
MCV,80.0 /100.0,fL
MCV,80-100,fI
MCV,76-96,ft
MCV,78-101,fl
MCV,79-101,fL
MCV,75-96,fl
MCV,82-100;,
MCV,82-100,
MCV,76-96,fI
MCV,75-95,fl
MCV,80.0 / 100.0,fL
MCV,78.0-94.0,fL
MCV,80.0-100.0,fL
MCV,80-96,fl
MCV,82-92,cumm
MCV,80-94,fL
MCV,78-98,fh fl
MCV,80.0-96.0,fL
MCV,FL 86.0 110,
MCV,83-101,fL VCS
MCV,80-100,cu-microns
MCV (Mean Corpuscular Volume),78-100,fL
MCV.,80-99,fL
MCV>84.43,80-100,
Mean Blood Glucose,,mg/dL
Mean Blood Glucose (MBG),,mg/dL
Mean Cell Volume,82-100,Cubic microns
Mean Corp. Hb (MCH),27.0-32.0,pg
Mean Corp. Hb (MCH),27.0-320,pg
Mean Corp. Hb Con. (MCHC,32.0-36.0,g/dL
Mean Corp. Hb Con. (MCHC),32.0-36.0,g/dL
Mean Corp. Hb Con. (MCHC),32.0-36.0;,g/dL
Mean Corp. Volume (MCV),78.0-94.0,fL
Mean Corp.Hb Con (MCHC),32.0-36.0,g/dL
Mean Corp.Hb(MCH),27.0-32.0,pg
MEAN CORPUSCULA HEMOGLOBIN CONCENTRATION,31.5-34.5,g/dL
Mean Corpuscular,25-32,picograms
MEAN CORPUSCULAR CONCENTRATION HEMOGLOBIN,31.5-34.5,g/dL
MEAN CORPUSCULAR HAEMGLOBIN-MCH,27-32,pg
MEAN CORPUSCULAR HAEMOGLOBIN,(27-32),Pg
MEAN CORPUSCULAR HAEMOGLOBIN,27-32,pg
MEAN CORPUSCULAR HAEMOGLOBIN (MCH),Adults:26-32;,PG
MEAN CORPUSCULAR HAEMOGLOBIN CONCENTRATIONMCHC,30-35,gm/dl
MEAN CORPUSCULAR Hb,Adults: 32-36;,gm/dl
Mean corpuscular Hb Con,32-36,g/dl
MEAN CORPUSCULAR Hb CONCN,(30-35),%
MEAN CORPUSCULAR Hb CONCN.,30-35,%
MEAN CORPUSCULAR HEMOGLOBIN,27.0-32.0,pg
MEAN CORPUSCULAR HEMOGLOBIN,27.0-32.0,g/dL
MEAN CORPUSCULAR HEMOGLOBIN,27.0-32,pg
MEAN CORPUSCULAR HEMOGLOBIN,Low 27.0-32.0,pg
MEAN CORPUSCULAR HEMOGLOBIN,31.5-34.5,g/dL
MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION,27.0-32.0,g/dL
MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION,31.5-34.5,g/dL
MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION,High 31.5-34.5,g/dL
MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION,31.5-34.5,pg
MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION,Low 31.5-34.5,g/dL
MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION,,
MEAN CORPUSCULAR HGB,27.0-32.0,pg
MEAN CORPUSCULAR HGB.,27.0-32.0,pg
MEAN CORPUSCULAR VOL,83-101,fL
MEAN CORPUSCULAR VOLUME,83.0-101.0,fL
MEAN CORPUSCULAR VOLUME,Low 83.0-101.0,fL
MEAN CORPUSCULAR VOLUME,83-101,fL
MEAN CORPUSCULAR VOLUME,(76-96,fL
MEAN CORPUSCULAR VOLUME,76-96,fL
Mean Corpuscular Volume,76-96,cu micron
MEAN CORPUSCULAR VOLUME,,fL
MEAN CORPUSCULAR VOLUME (MCV),Adults: 78-98;,fl
MEAN CORPUSCULAR VOLUME-MCV,80-96,fL
Mean Plasma Glucose,0-116.0,mg/dL
Mean Plasma Glucose (MPG),,mg/dL
MEAN PLATELET VOLUME,6.8-10.9,fL
MEAN PLATELET VOLUME,High 6.8-10.9,fL
MEAN PLATELET VOLUME,6.5-12.0,fL
Mean Platelet Volume (MPV),6.5-12.0,fL
Mechanism,,
Medication,,
Mens Cell Volume,82-100,Cubin microns
MENSTRUAL HISTORY (FOR FEMALES),,
MENTAL / EMOTIONAL STATE,,
Mes R.B.C Notfound.R.B.C.cast,,
METHOD,NOT DETECTED,
METHOD,,
METHOD,TETRABROMPHENOL,%
METHOD DIPSTICK BILIRUBIN,,
MICRO ORGANISM,,
MICRO ORGANISMS,,
Microcytosis,,
MICROSCOPIC EXAMINATION BACTERIA,,
MICROSCOPIC EXAMINATION EPITHELIAL CELLS,2-3,0-5
MICROSCOPIC EXAMINATION EPITHELIAL CELLS,1-2,0-5
MICROSCOPIC EXAMINATION Leukocytes(Pus cells)/hpf,1-2,0-5/hpf
MICROSCOPIC EXAMINATION PER HPF Leucocytes Pus Cells>1-2 Epithelial Cells>34 Red Blood Cells,,
MICROSCOPIC EXAMINATION Pus cells,,
MICROSCOPIC EXAMINATION PUS CELLS,1-2,hpf 0-5
MICROSCOPIC EXAMINATION RED BLOOD CELLS,,
Microscopic Findings,,
MID,2.0/10.0,%
MID,2.0 /10.0,%
MID,2.0 / 10.0,%
MID,2.0 /100,%
MID #,01/1.0,x10^3/µL
MID#,0.1/1.0,x10^3/µL
MID#,0.1 / 1.0,x10^3/µl
MID#,0.1/1.0,x10^3μL
MID#,0.1 /1.0,x10^3/μL
MID#,0.1/1.0,x10^3%/ μL
MID#,01710,x10^3/μL
Mitral E,,m/sec
Mitral Valve,,
MODIFIED ZEIHL NEELSEN STAIN,,
Mon#,0.12-1.20,x10^9/L
Mon%,3.0-12.0,%
Monilia,,
Mono,02-08,%
MONOCTTES,200-1000,Cells/cu.mm
Monocyie,,%
MONOCYIES,2-10,%
Monocyies,02-10,%
Monocyte,,0.19
MONOCYTE,2-8,%
Monocyte,1-10,%
MONOCYTE,2-10,
Monocyte,,%
MONOCYTE,2.0-10.0,%
Monocyte,2-10,%
MONOCYTE,2.8,%
Monocyte,01-06,%
MONOCYTE,2-12;,
MONOCYTE,02-10,%
MONOCYTE,2-12,
Monocyte,00-03;,%
Monocyte,00-03,%
Monocyte,(2-10),%
Monocyte,01%-06%,%
Monocyte,0-5,%
Monocytes,0-5,%
Monocytes,2-10,%
MONOCYTES,2.0-10.0,%
MONOCYTES,200-1000,Cells/cu.mm
Monocytes,00-05,%
Monocytes,02-08,%
Monocytes,0-10,%
MONOCYTES,2-70,%
Monocytes,02-10,%
MONOCYTES,200-1000;,Cells/cu.mm
Monocytes,2.0-10,%
MONOCYTES,2-8,%
Monocytes,01-10,%
MONOCYTES,1-10,%
MONOCYTES,2-8%,%
MONOCYTES,200-1000;,Cells/.u.mm
Monocytes,01-10%,%
Monocytes,01-10%,
Monocytes,,%
Monocytes,02-10%,%
Monocytes,,01-10%
MONOCYTES,200-1000,Cell/cu.mm
MONOCYTES,01-12,%
MONOCYTES,2000-1000,Cells/cu.mm
Monocytes,02-04,%
Monocytes,[2-10],%
Monocytes,20-45,%
Monocytes,0-8,%
Monocytes,,
MONOCYTES,01-05,%
Monocytes,4-10,%
MONOCYTES,2-10,Mi
MONOCYTIS,200-1000,Cells/cu.mm
MONOCYTTS,200-1000,Cells/cu.mm
MONOQCYTES,2-10,%
MONOQCYTES,200-1000,Celis/cu.mm
Morphology of Red blood cells,,
Morphology of White blood cells,,
Mouth Ulcers,,
MOVEMENTS OF CHEST,,
MPV,6-11,fl
MPV,6-10,fi
MPV,6.0-11.0,fl
MPV,6.0/11.0,fL
MPV,6.0 /11.0,fL
MPV,6.0 / 11.0,fL
MPV,6.5-12.0,fL
MPV,6.0 /110,fL
MPV,6.5-11,fl
MPV (Mean Piatelet Volume),6-9.5,fL
MPV (Mean Platelet Volume),6-9.5,fL
MPY,6-10,fl
MUCOUS,,
MUCUS,ABSENT,
Mucus,,
MUCUS,NOT DETECTED,
Mucus Strands,Absent,
Mucus Strands,,
MURMURS,,
MUSCLE FIBERS,ABSENT,
MUSCLE FIBRES,ABSENT,
NEAR VISION LEFT EYE WITH GLASSES,,
